ID	ENGLISH	OCCURRENCE	CONCEPT_IN_SOURCE	FORMS	PHRASE	GLOSS
1		4188	ABL // ADV // AGT // ASP // ASP:EVID // AUX // BEN // CAUS // CL // COM // COMP // CON // COP // CSM // DAT // DEF // DEF:CL // DIR // DIR:INDTV // DTV // DVT // EMPH // EXC // EXCL // GEN // HABIT // HORT // HS // IMP // INDEF // INDEF:CL // INDTV // INF // INF:PRS // INST // INT // LNK // LOC // NAR // NEG // NOM // PART // PRS // Q // REP // RESULT // TOP // VIS // WH	a // a! // a: // bɑ // da // de // die // do // du // dɑ // e // e! // e:! // fən // ha // ha! // hai // hai! // he // hi // hi! // ho // hüa // hɑ // hɑtu // i // j // ja // ji // jy // jy123 // jɑ // jə // k // ka: // ke // ke: // kei // ku // kuai // kui // kuo // kuɑ // kuə // kɑ: // kə // kə: // kəi // kəpə // la: // le // le: // lɑ // lɑ: // lə // lə114 // m // ma // me // mi // mo // mu // mɑ // mə // ne // ne: // nu // nɑ // nə // o // pɑ // qu // s // ste // stu // stun // stũ // su // sɑ // sə // ta // ta: // te // te: // thɑ // thə // ti // tu // tu118 // tɑ // tɑ: // tɑu // tɕ // tɕe // tɕi // tɕi? // tɕo // tɕu // tɕə // tə // tʂ // tʂɑ // u // w // wa // wei // wu // wu111 // wɑ // wɑ105 // wɑ? // x // xʂe // ze // zi // zu // zə // ŋuɑ // ŋuɑ? // ŋuə // ŋuəi? // ŋuəȵi // ŋ̥u̥ə // ŋ̥u̥ə̥ // ȵi // ȵi104 // ȵi110 // ȵi: // ȵiɑu // ȵɑ // ɑ // ɑ: // ɑ? // ɕa: // ɕɑ: // ə // əi // ək // əm // əs // ɦa // ɦa! // ɦala // ɦe // ɦei // ɦo // ɦɑ // ɦɑ: // ɦɑlɑ // ɦɑlə // ɦɑta // ɦɑthɑ // ɦɑtɑ // ɦɑtə // ɸi // ʁa // ʁɑ // ʁɑ112 // ʁə // ʂ // ʂu // ʂɑ // ʂə // ʐ // ʐgu // ʐə // ʐ̥ə	zəp-le: ȵi-ke: pe-ji qeʴlotʂu-ʁɑ,	earth-DEF:CL WH-INDEF:CL become-CSM in.the.past-LOC
2	1sg	152	1sg // 1sg:PRS // ASP:1sg // CAUS:1sg // COP:1sg // CSM:1sg // INDTV:1sg // REP:1sg // VIS:1sg	guo // ja // jya // jyɑ // jɑ // lɑ // qɑ // ŋuɑ // ŋuɑ121 // ɑ // ɑ: // ʐɑ	ʂkup-te:-wu maha qɑ dzə lɑ:,”	orangutan-DEF:CL-AGT night 1sg eat come:PRS
3	thus	93	COM:thus // thus	ike // ikə // ke // kə // ȵike	thəzzi-tɑ kə-ji,	3dl-LOC thus-say
4	still is)	54	†(still.is)	χaiʂə	ɦɑ-the-wu χaiʂə ɦe-zei ɦe-zei-ȵi dɑ-qə-jə ɦe-zei ɦe-zei-ȵi dɑ-qə-jə-kəi-tu,	INT-that-ABL †(still.is) DIR-cry DIR-cry-ADV DIR-go-REP DIR-cry DIR-cry-ADV DIR-go-REP-NAR-LNK
5	emperor	60	emperor	juanʁuai // juɑnʁuɑi // juɑnʁuɑi109 // ʐmitʂi // ʐmətʂi	sawu-le: wutɕupu-ŋuəȵi ʐmətʂi.	older.sister-DEF:CL husband-TOP emperor
6	also	40	also	lə	ep lə me-ʐi ew lə me-ʐi ke: ŋuə-kəi-tɕu,	father also NEG-exist mother also NEG-exist INDEF:CL COP-NAR-PART
7	2sg	85	2sg // †(2sg	n // n122 // n? // un // ȵi // ən // ʔũ	maha-ȵi-ŋuəȵi qɑ ʔũ-gul zu-lu-ɑ:-wɑ,”	night-ADV-TOP 1sg 2sg-companion DIR-come-1sg:PRS-EMPH
8	there	80	there	thu // thɑ // thə // ɦɑlɑ // ɦɑlə	qusɑp-tou-ŋuəȵi ɦɑlɑ kɑpətʂ-tou-pienɑ-lɑ nəʂ-te:-pienɑ thɑ ɦɑ-nə-kəi,	scissors-DEF:one:CL-TOP INT orphan-DEF:one:CL-beside-LOC bed-DEF:CL-beside there DIR-sleep-NAR
9	day	39	day	s // sə	steke lɑ-s-ʁɑ,	later DEF:one-day-LOC
10	this	46	this // this:CL // †(this	tse // tse: // tsɑ // tsə // tʂekə	tɕile pəmaha tse: qəta:-wa,”	2pl tonight this:CL beat.to.death:PRS-EMPH
